Sample_ID,Region,Depth,Month,Year,Site_ID,Lat,Long,Sorting_Method,WGA_Approach,Status,Primary_Tax_Method,Target_Region,Taxonomy,Plot_Taxa,Cluster_ID,O2_Content,Oxy_Type,OMZ_Phenotype,Topography,Completeness,Contamination,Strain_heterogeneity,Assembly_Length,Assembly_Length_MBP,Number_of_contigs,N50_Contigs,Mean_contig_length_(bp),Longest_contig_(bp),GC,Temperature_(ºC),Salinity_(psu),[O2]_(uM),[NO3-]_(uM),[NO2-]_(uM),[NH3]_(uM)
AD-305_B05,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_B07,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,29.35,0,0,777405,0.777405,36,29982,21591,56601,34.88,5.6,10.7,0,1.64,0.43,NaN
AD-305_B10,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_B13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,20.82,0,0,408811,0.408811,19,35453,21516,49044,34.94,5.6,10.7,0,1.64,0.43,NaN
AD-305_B18,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_B19,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,28.03,0,0,782756,0.782756,39,35905,20067,104147,34.46,5.6,10.7,0,1.64,0.43,NaN
AD-305_B20,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_C02,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_C11,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,7.68,0,0,252046,0.252046,8,43500,31505,61604,34.95,5.6,10.7,0,1.64,0.43,NaN
AD-305_C13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Planctomycetes;OM190;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_C15,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_C18,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Planctomycetes;OM190;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_C21,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_D02,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,15.83,0,0,391369,0.391369,32,16767,12230,34501,34.56,5.6,10.7,0,1.64,0.43,NaN
AD-305_D03,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_D07,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_D09,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,40.13,0,0,707661,0.707661,52,18766,13608,66453,35.03,5.6,10.7,0,1.64,0.43,NaN
AD-305_D13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp.,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_D14,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade III;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_D18,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;Cyanobium sp. JJ12-6,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_D21,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E09,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Defluviimonas;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E16,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E17,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Cryptoprodotis;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E19,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured alpha proteobacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E20,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_E21,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_F02,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_F05,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,75.73,0,0,1240687,1.240687,41,75240,30258,213256,32.25,5.6,10.7,0,1.64,0.43,NaN
AD-305_F07,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales;Paracaedibacteraceae;uncultured;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_F08,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;uncultured Bacteroidetes bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_F10,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_F13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,34.26,0,0,476142,0.476142,21,26079,22673,58626,37.95,5.6,10.7,0,1.64,0.43,NaN
AD-305_F23,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;uncultured alpha proteobacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_G05,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,19.96,0,0,375531,0.375531,23,29612,16321,38923,37.8,5.6,10.7,0,1.64,0.43,NaN
AD-305_G13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_G18,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;Candidatus Thioglobus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,27.84,0,0,427859,0.427859,17,39993,25165,56889,37.77,5.6,10.7,0,1.64,0.43,NaN
AD-305_G20,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_G21,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_G22,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;uncultured crenarchaeote,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I04,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,39.32,0,0,761147,0.761147,33,43128,23060,125337,34.65,5.6,10.7,0,1.64,0.43,NaN
AD-305_I09,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I10,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;uncultured crenarchaeote,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I11,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I13,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Blfdi19;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I15,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I16,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,21.7,0.2,0,623732,0.623732,46,22826,13556,52472,34.89,5.6,10.7,0,1.64,0.43,NaN
AD-305_I17,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Marinimicrobia_SAR406_clade;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_I18,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,3.27,0,0,205490,0.20549,6,40874,34248,68788,33.56,5.6,10.7,0,1.64,0.43,NaN
AD-305_I20,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Actinobacteria;Actinobacteria;PeM15;uncultured bacterium ARCTIC38_F_05,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_J02,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Not Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;AB1;uncultured bacterium,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,,,,,,,,,,,5.6,10.7,0,1.64,0.43,NaN
AD-305_J03,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,38.6,0,0,1146348,1.146348,77,25034,14887,46294,33.64,5.6,10.7,0,1.64,0.43,NaN
AD-305_J04,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,34.2,0,0,796273,0.796273,31,42105,25681,58663,34.88,5.6,10.7,0,1.64,0.43,NaN
AD-305_J08,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,25.86,0,0,496640,0.49664,22,37179,22574,89152,35.13,5.6,10.7,0,1.64,0.43,NaN
AD-305_J10,Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,DNA,MDA,Sequenced,16S,V3-V5,Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;marine metagenome,,,0,Anoxic,Sulfidic_Bottom,Enclosed_Basin,81.52,0,0,1220335,1.220335,19,203324,64228,277228,32.07,5.6,10.7,0,1.64,0.43,NaN
